criterion_id	role	scope	metric	threshold	unit	provenance_label	failure_policy_or_note
QC_SOURCE	HARD_QC_GATE	all	exact hashed v1/method/state/graph/physical settings	EXACT	mixed	SOURCE_FROZEN	Mismatch STOP
QC_MM_FORCE	HARD_QC_GATE	MM preflight	finalFmax	primary<=1;audit<=0.1	kJ/mol/nm	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	No converged-status shortcut
QC_MM_SCAN	HARD_QC_GATE	existing profileMM	wrapped achieved scan drift	<=0.020	degree	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	QM historical0.01 remains distinct
QC_SMOOTH_BRANCH	HARD_QC_GATE	each derivative direction	single symmetry-map minimax unrestrained proper change across all states	<=30	degree	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	Not an assertion of unique basin; invalidresponse STOP
J_STEP	HARD_QC_GATE	each column	relative normalizedJh-J2h norm	<=0.10	dimensionless	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	Zero signals UNIDENTIFIABLE
J_CONV	HARD_QC_GATE	each column	relative normalizedJh-Jtight norm	<=0.05	dimensionless	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	No step/tolerance retuning
J_RANK	DIAGNOSTIC	primary and block-removal J	supported singular value	sigma>5*max(delta,machineTolerance)	dimensionless	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	Empiricaluncertainty envelope not globalproof
J_UNIQUE_PROXY	DIAGNOSTIC	supported unique coordinate	sqrt(unit-noise covariance Cjj)	<=1	normalized parameter scale	NEW_PREREGISTERED_IDENTIFIABILITY_CRITERION	Not statistical CI; null coordinates unresolved
HIST_GEOMETRY	DIAGNOSTIC	historical	approximate bond/angle guidance	~0.03;~3	angstrom;degree	SOURCE_DIAGNOSTIC_ONLY	Not universal optimizer target
FIT_WEIGHTS	FIT_OBJECTIVE	development	equal classmeans/source family instance weights	fixed blocks; lowPES<=5 weightfactor2	dimensionless	NEW_PREREGISTERED_CRITERION	All points retained; no heldouts
