field	value	evidence
DECISION_DATE	2026-09-24	75 scientific review
PAIR_AUDIT_GEOMETRIES	22	phase2_nonbonded_pair_audit_20260924/audit_summary.json
PAIR_AUDIT_CROSS_PAIRS	1122	phase2_nonbonded_pair_audit_20260924/audit_summary.json
PAIR_AUDIT_SOURCE_HASHES	138/138 MATCH	phase2_nonbonded_pair_audit_20260924/input_hash_receipt.tsv
MM_CONTACT_MECHANISM	MIXED_COULOMB_ATTRACTION_AND_LJ_WALL	75; atom_contributions.tsv
DOMINANT_SHORT_RANGE_LJ_PAIR	OG2P1(O1)-OT(OW)	75; pair_terms.tsv
SITE_DIFFERENCE	MULTIPAIR_GEOMETRY	75; audit_summary.json
QM_MM_ERROR_CAUSE	UNRESOLVED	75; 68; 60
NONBONDED_PARAMETER_DECISION	NONBONDED_PARAMETERS_ACCEPTED_WITH_CAUTION	75
CHARGE_STATUS	ACCEPT_CURRENT_CHARGES_WITH_CAUTION	75
LJ_STATUS	ACCEPT_CURRENT_LJ_WITH_CAUTION	75
PARAMETER_CHANGE_REQUIRED	NO_SPECIFIC_DEFECT_DEMONSTRATED	75
PHASE2_STATUS	PASS_WITH_CAUTION	75
PHASE3_TORSION_VALIDATION	AUTHORIZED_WITH_PRE_QM_GATE	75; 27; 29; 38
PFBS_MEMBRANE_READINESS	NOT_YET_DECIDED	75
PARAMETER_EDITED	NO	75
MD_RUN_AUTHORIZATION	NOT_GRANTED	75
