job_id	role	question	parameters_informed	observable	existing_data_sufficient	necessity	estimated_cost	dependency	authorization
GEO_B_FREQ_PROPOSED	FIT_DEVELOPMENT	Does retained revised B supply a stable second-basin Hessian and distinguish reduced stiffness blocks?	Bond/angle stiffness; conditional UB; basin geometry balance	51x51 Hessian; normal modes; gradients; minimum classification	NO; only A Hessian available in audited PFBS evidence	Second basin curvature and independent stationary-point classification	Planning analogue A: elapsed 1h16m23.8s; CPU6h50m5.6s; 8threads/48GB input; ~93GB RWF peak. B actual cost unknown; not benchmarked.	Validate A raw Hessian transforms and exact B input; fresh isolated runtime resources before any later authorization	PROPOSED_NOT_AUTHORIZED
JOINT_CC060_CS030	FIT_DEVELOPMENT	Independent mixed CC/CS response 60/30	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC060_CS090	FIT_DEVELOPMENT	Independent mixed CC/CS response 60/90	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS030	FIT_DEVELOPMENT	Independent mixed CC/CS response 180/30	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS090	FIT_DEVELOPMENT	Independent mixed CC/CS response 180/90	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS030	FIT_DEVELOPMENT	Independent mixed CC/CS response 300/30	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS090	FIT_DEVELOPMENT	Independent mixed CC/CS response 300/90	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Development coupling identification	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS020	HELD_OUT_VALIDATION	Independent mixed CC/CS response 90/20	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Prospective unseen 2D validation; never used to fit/select weights/variables	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS100	HELD_OUT_VALIDATION	Independent mixed CC/CS response 90/100	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Prospective unseen 2D validation; never used to fit/select weights/variables	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
JOINT_CC210_CS020	HELD_OUT_VALIDATION	Independent mixed CC/CS response 210/20	Grouped CC/CS amplitudes with bonded geometry/curvature guards	Doubly constrained relaxed energy; full geometry; achieved angles; convergence	NO; 1D adiabatic trajectories do not independently fix both junction rotations	Prospective unseen 2D validation; never used to fit/select weights/variables	One 17-atom MP2 constrained optimization; budget up to200steps with8threads/24GB, potentially hours; no credible per-point ETA without execution. Higher mixed energies may slow convergence.	Exact seed identity; graph-preserving two-target start +geometry gate; exact run-control/input review; independent job-local outputs	PROPOSED_NOT_AUTHORIZED
