criterion_id	category	rule	quantitative_value	scope	rule_status	source_file	source_sha256	application
IDENTITY	INTEGRITY	Fixed17atoms/order/16bonds;charge-1/singlet;method/basis/input/outputbinding;Gaussian16C.02;warning review	17atoms;16edges;-1/1	All chemical observables	FROZEN_QUALITATIVE_RULE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
GEOMETRY_DIAGNOSTIC	GEOMETRY	FocusedS-C,C-C,S-O andC1-C2-S1 agreement without distortedSO3/junction; deviations trigger review	~0.03angstrom/~3degree	Initial model focused geometry; diagnostic guidance only	FROZEN_DIAGNOSTIC_GUIDANCE_NOT_AUTOMATIC_FIT_GATE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
MINIMUM	HESSIAN_FREQUENCY	No chemically meaningful imaginary mode; low-frequency character assessment; numerical ambiguityREVIEW	CRITERION_NOT_PREVIOUSLY_FROZEN	Unrestrained geometry/frequency references	FROZEN_QUALITATIVE_RULE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
A_FREQUENCY_CAUTION	HESSIAN_FREQUENCY	Retain known numerical/thermochemical caution and45positiveprojectedmodes; no improper rejection from soft-mode thermochemistry	No new universal frequency cutoff	Afrequency case-specific evidence	FROZEN_QUALITATIVE_RULE	evidence/47_PFBS_FREQUENCY_WARNING_REVIEW.md	dbc81ddcdd04d64d9b376dd5263b9da98283b949de13ba7cbc6e30ef41109900	Independent scientific adjudication; never an outcome-selected fit target
CC_BASINS	T_CC	Same low-energy basin/order;minimum within30degree sampling;relative minima/barriers/profile shape;reverse branch review	30degree sample resolution	InitialCCPES comparison	FROZEN_QUALITATIVE_RULE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
LOW_ENERGY	T_CC_T_CS	Emphasize QM states within5kcal/mol; report every point	5kcal/mol priority	Weighting priority, not numerical acceptance tolerance	FROZEN_QUALITATIVE_RULE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
CS_SYMMETRY	T_CS	Unique0-110degree profile +120closure;O-permuted geometries/energies;basin/barrier behavior;reverse seeds	120degree O-permutation	InitialCSPES comparison	FROZEN_QUALITATIVE_RULE	evidence/29_PFBS_QM_ACCEPTANCE_RULES.md	ccd7d16872a44da0507f7d81af6986dd2a876699e19d5702406a99f56a6ff902	Independent scientific adjudication; never an outcome-selected fit target
CONFORMER_ORDER	CONFORMER_ORDERING	Retain validatedA/B relative electronic ordering; joint model cannot reverse meaningful low-energy basin ordering	CRITERION_NOT_PREVIOUSLY_FROZEN	No universal permissible electronic-energy residual	FROZEN_QUALITATIVE_RULE	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
NO_COMPENSATION	JOINT_TARGETS	Preserve local/global geometry,curvature,CC/CSenergetics,branch/symmetry and compatibility jointly	CRITERION_NOT_PREVIOUSLY_FROZEN	Broad protocol qualitative rejection	FROZEN_QUALITATIVE_RULE	SOL_HIGH_PROTOCOL_REVIEW.md	9f4c235312daf0ce24df7306f8154bf7789d18eed1ca7bcdc0da0f2c5f653b9b	Independent scientific adjudication; never an outcome-selected fit target
STEP_CAP	QM_EXECUTION	Actual future optimization log must prove effective maximum200 before substantial scientific computation	200	Future optimization only;NOTfrequency;NOTretroactive earlier accepted points	FROZEN_EXECUTION_GATE	evidence/PHASE3_V8_TERMINAL_QC_SPEC.md	04d0f4f313e66a6faf2a43faa9ac419f4bf03381bea3f224e6bc96b703ebb478	Independent scientific adjudication; never an outcome-selected fit target
TORSION_ACCURACY	QM_EXECUTION	Exact restrained torsion readback;periodic target error no greater than0.01degree	0.01degree	Existing absolute/reverseQC;proposed mixed extension requires exact input audit	FROZEN_EXECUTION_GATE	evidence/PHASE3_V8_TERMINAL_QC_SPEC.md	04d0f4f313e66a6faf2a43faa9ac419f4bf03381bea3f224e6bc96b703ebb478	Independent scientific adjudication; never an outcome-selected fit target
OPT_SCF_MP2	QM_EXECUTION	exit0;oneNormaltermination;optimizationconverged;four actual tightcriteriaPASS;matchedpositiveSCF/MP2counts;finiteEUMP2;warningreview	Actual installed Tight thresholds read from log	Constrainedoptimization;Freq requires its appropriate separate status	FROZEN_EXECUTION_GATE	evidence/PHASE3_V8_TERMINAL_QC_SPEC.md	04d0f4f313e66a6faf2a43faa9ac419f4bf03381bea3f224e6bc96b703ebb478	Independent scientific adjudication; never an outcome-selected fit target
CHK_ARCHIVE	QM_PROVENANCE	Embeddedarchive+rawlog+joblocalchk;formchk-on-copyfchk;input/log/chk/fchk hashes;sourcecheckpointunchanged	ExternalautomaticarchiveNOTrequired	Phase3approvedterminalQC	FROZEN_EXECUTION_GATE	evidence/PHASE3_V8_TERMINAL_QC_SPEC.md	04d0f4f313e66a6faf2a43faa9ac419f4bf03381bea3f224e6bc96b703ebb478	Independent scientific adjudication; never an outcome-selected fit target
BOND_CHANGE_SCREEN	GEOMETRY_SCREEN	Any bondedpair absolute input-tofinaldistance change>0.20angstrom flagsREVIEW	0.20angstrom	ConservativeQMcontactscreen,not model equilibrium acceptance	FROZEN_SCREEN_NOT_AUTOMATIC_FAILURE	evidence/PHASE3_V8_QC_SOURCE_READ_ONLY.py	2ecc3f63fb871f4f61fc9fab3fb34916556d4eb706f32ca19b57c63aa1028b0d	Independent scientific adjudication; never an outcome-selected fit target
CONTACT_SCREEN	GEOMETRY_SCREEN	Graphnonbonded distance<2.0angstrom and shortened>0.30angstrom flagsREVIEW;nonbondedminimum<=bondedmaximumalsoREVIEW	2.0angstrom;0.30angstrom	ConservativeQMscreen,not new scientific tolerance	FROZEN_SCREEN_NOT_AUTOMATIC_FAILURE	evidence/PHASE3_V8_QC_SOURCE_READ_ONLY.py	2ecc3f63fb871f4f61fc9fab3fb34916556d4eb706f32ca19b57c63aa1028b0d	Independent scientific adjudication; never an outcome-selected fit target
WARNING_CASE	QM_QA	Knownalpha-MO/optimizer warnings require rawlog/hashboundcase review;unknownwarningREVIEW/STOP;sentineldispositionisnotblanketwaiver	CRITERION_NOT_PREVIOUSLY_FROZEN	Eachnewcase	FROZEN_QUALITATIVE_RULE	evidence/PHASE3_V8_TERMINAL_QC_SPEC.md	04d0f4f313e66a6faf2a43faa9ac419f4bf03381bea3f224e6bc96b703ebb478	Independent scientific adjudication; never an outcome-selected fit target
MM_EXECUTION	MM_VALIDATION	IndependentrelaxedconstrainedMM;physicalenergyexcludesartificialrestraint;MM@QMsecondary;nonbondedbox/cutoffdiagnostic	ExistingFmax<10kJ/mol/nm execution convergence	Existingbaseline protocol,not new fit acceptance	FROZEN_EXECUTION_PROTOCOL	evidence/TASK1_AND_PHASE3_SOL_HIGH_DISPOSITION.md	3469e8364d904ed2927105815adf51df758709e974eb19963304c1dda4376089	Independent scientific adjudication; never an outcome-selected fit target
